frame,latency_ms,num_trackers,critical,warning,safe
1,710.7679843902588,7,0,3,4
2,174.74675178527832,6,0,4,2
3,189.54038619995117,6,0,4,2
4,166.9633388519287,7,0,5,2
5,124.64523315429688,6,0,3,3
6,148.56886863708496,6,0,3,3
7,158.86521339416504,7,0,5,2
8,135.38479804992676,6,0,4,2
9,128.1266212463379,6,0,6,0
10,166.9938564300537,6,0,6,0
11,169.51489448547363,4,0,4,0
12,154.12640571594238,6,0,6,0
13,140.81621170043945,7,0,7,0
14,130.1252841949463,8,0,8,0
15,155.32398223876953,7,0,6,1
16,148.51808547973633,6,0,5,1
17,155.42840957641602,6,0,5,1
18,149.7323513031006,6,0,5,1
19,177.0327091217041,6,0,4,2
20,161.607027053833,7,0,5,2
21,167.18482971191406,7,0,6,1
22,141.5729522705078,7,0,6,1
23,125.90289115905762,7,0,6,1
24,181.34570121765137,7,0,7,0
25,166.9156551361084,7,0,7,0
26,149.7511863708496,7,0,7,0
27,158.06293487548828,7,0,7,0
28,138.82946968078613,5,0,5,0
29,237.29372024536133,6,0,6,0
30,161.88979148864746,7,0,7,0
31,212.7366065979004,7,0,7,0
32,165.15564918518066,7,0,7,0
33,179.107666015625,7,0,7,0
34,174.05366897583008,8,0,8,0
35,169.3747043609619,5,0,5,0
36,188.16804885864258,6,0,6,0
37,229.91323471069336,5,0,5,0
38,161.00478172302246,5,0,5,0
39,228.01494598388672,7,0,7,0
40,180.81116676330566,6,0,6,0
41,160.5203151702881,6,0,6,0
42,155.26628494262695,6,0,6,0
43,159.1794490814209,6,1,5,0
44,159.60407257080078,6,1,5,0
45,152.10866928100586,6,1,5,0
46,179.78358268737793,7,1,6,0
47,151.0937213897705,7,1,6,0
48,165.32015800476074,7,0,7,0
49,152.4507999420166,8,0,8,0
50,167.04583168029785,9,0,8,1
51,165.56024551391602,9,0,8,1
52,158.0209732055664,9,0,9,0
53,162.22715377807617,9,0,9,0
54,169.65317726135254,9,0,6,3
55,149.2471694946289,8,0,6,2
56,134.75537300109863,10,0,8,2
57,152.0681381225586,8,0,6,2
58,157.87339210510254,8,0,7,1
59,158.98919105529785,8,0,7,1
60,148.70667457580566,8,0,7,1
61,161.23652458190918,8,0,6,2
62,160.29906272888184,9,0,6,3
63,167.25683212280273,8,0,5,3
64,145.432710647583,8,0,5,3
65,142.63272285461426,9,0,5,4
66,149.0330696105957,7,0,4,3
67,170.16911506652832,9,0,4,5
68,150.54702758789062,9,0,4,5
69,154.5424461364746,9,0,4,5
70,152.28772163391113,8,0,4,4
71,142.76671409606934,9,0,4,5
72,150.76828002929688,9,0,4,5
73,153.49316596984863,9,0,5,4
74,150.36869049072266,10,0,6,4
75,145.90120315551758,10,0,6,4
76,135.93173027038574,8,0,5,3
77,137.42613792419434,8,0,5,3
78,145.61152458190918,7,0,4,3
79,133.26168060302734,7,0,6,1
80,156.36610984802246,8,0,8,0
81,156.80789947509766,8,0,8,0
82,199.5837688446045,8,0,8,0
83,153.11145782470703,8,0,8,0
84,163.73491287231445,8,0,8,0
85,146.79718017578125,8,0,8,0
86,143.2652473449707,9,0,9,0
87,170.00842094421387,9,0,9,0
88,159.7878932952881,9,0,7,2
89,145.84970474243164,10,0,8,2
90,157.5920581817627,10,0,9,1
91,160.02273559570312,10,0,7,3
92,157.1345329284668,9,0,7,2
93,151.6730785369873,9,0,7,2
94,153.3181667327881,10,0,7,3
95,150.9566307067871,11,0,5,6
96,163.91277313232422,11,0,4,7
97,178.65490913391113,12,0,5,7
98,164.9010181427002,11,0,4,7
99,193.2060718536377,11,0,4,7
100,177.89816856384277,11,0,1,10
101,181.60271644592285,12,0,1,11
102,184.9966049194336,10,0,1,9
103,170.43471336364746,11,0,1,10
104,184.50284004211426,10,0,1,9
105,190.11211395263672,10,0,1,9
106,183.40826034545898,10,0,1,9
107,171.77605628967285,10,0,1,9
108,146.9860076904297,10,0,1,9
109,147.84955978393555,10,0,1,9
110,184.7972869873047,10,0,1,9
111,163.09642791748047,10,0,1,9
112,160.8119010925293,10,0,1,9
113,159.45863723754883,10,0,1,9
114,175.6298542022705,9,0,1,8
115,158.57338905334473,10,0,0,10
116,155.66158294677734,10,0,0,10
117,158.14924240112305,11,0,0,11
118,176.26667022705078,10,0,0,10
119,171.84209823608398,12,0,0,12
120,160.71486473083496,9,0,0,9
121,178.16472053527832,10,0,0,10
122,166.89324378967285,11,0,0,11
123,175.8248805999756,11,0,0,11
124,161.50259971618652,11,0,0,11
125,164.5510196685791,12,0,0,12
126,163.46168518066406,14,0,0,14
127,165.12012481689453,13,0,0,13
128,174.1805076599121,11,0,0,11
129,177.9637336730957,12,0,1,11
130,189.9580955505371,11,0,2,9
131,188.5075569152832,12,0,2,10
132,150.02107620239258,11,0,2,9
133,187.5746250152588,11,0,2,9
134,143.2633399963379,12,0,2,10
135,174.33738708496094,12,0,1,11
136,171.95391654968262,12,0,1,11
137,157.09638595581055,12,0,1,11
138,161.22674942016602,12,0,1,11
139,178.10893058776855,11,0,1,10
140,173.69818687438965,12,0,1,11
141,185.70351600646973,13,0,0,13
142,156.68892860412598,12,0,0,12
143,144.5631980895996,12,0,0,12
144,148.08082580566406,12,0,0,12
145,150.29668807983398,11,0,0,11
146,154.1295051574707,13,0,0,13
147,174.63159561157227,11,0,0,11
148,135.86926460266113,8,0,0,8
149,161.2544059753418,12,0,0,12
150,160.9179973602295,13,0,0,13
151,162.22548484802246,13,0,0,13
152,181.06913566589355,14,0,0,14
153,131.5920352935791,10,0,0,10
154,140.15436172485352,13,0,0,13
155,157.15527534484863,16,0,0,16
156,181.85067176818848,15,0,0,15
157,138.7016773223877,14,0,0,14
158,157.38463401794434,12,0,0,12
159,185.83035469055176,14,0,4,10
160,145.9667682647705,15,0,4,11
